Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2011;China;24463;5923;29326;6796;354;4988;2892;966;25119;14898;1504;2179;1666;1687;983;7844;1775;5051;1839;2458;5,54E+12;1,79;1,34E+11;36,55;11,28;25,28;;26,57;2,4;49,4;20,71;3,71;2,8E+11;0,64;48420641060;6,67E+12;4961,23;13,22;4,83E+13;35963,25;47,82;45,02;97,21;24,17;8,08;12;1,9E+12;73,9;1,74E+12;63,45;48,23;1344130000;3;6;6;102,72;6;50,74;50,51;1062;656
2012;China;29516;9445;38606;7642;375;6481;3698;1496;28910;19290;1798;2330;2196;1749;1043;9469;2386;5508;2209;2801;6,44E+12;1,79;1,53E+11;36,65;11,55;25,1;;25,49;2,72;50,34;20,09;2,83;2,41E+11;0,76;64963386524;7,19E+12;5325,16;13,48;5,37E+13;39781,67;47,39;45,42;97,73;22,77;2,34;12;2,05E+12;73,09;1,82E+12;61,79;45,32;1350695000;3;6;6;108,71;6;48,27;51,77;1218;927
2013;China;36571;11372;48696;8812;542;10366;5420;1483;30183;21192;2376;2662;2912;2147;1326;11001;3087;6749;2901;3258;7,14E+12;1,79;1,71E+11;36,83;11,88;24,96;;24,6;2,45;50,65;19,18;3,04;2,91E+11;0,76;72970879683;7,75E+12;5710,59;13,59;5,88E+13;43329,15;47,57;45,69;98,22;22,15;2,16;12;2,21E+12;72,1;1,95E+12;63,04;43,46;1357380000;3;6;6;114,64;6;46,74;53,01;1414;1284
2014;China;42899;13009;56948;10244;749;14591;8129;1647;31926;25700;2933;3416;3525;2240;1675;13643;3524;7777;3311;3696;7,85E+12;1,79;1,88E+11;37,18;12,3;24,88;;23,59;2,12;51,2;17,82;2,57;2,68E+11;1,18;1,23E+11;8,32E+12;6096,49;13,38;6,42E+13;47065,29;47,21;45,23;98,4;21,47;0,79;12;2,34E+12;70,85;1,96E+12;63,43;41,21;1364270000;3;6;6;118,34;6;45,07;54,26;1774;1536
2015;China;54332;18625;71858;14318;1093;23547;9571;2284;37883;34897;3475;4283;4707;2667;1986;16136;4227;9611;4043;4116;8,35E+12;1,79;1,97E+11;37,71;12,85;24,86;;21,44;3,26;52,81;16,42;2,2;2,42E+11;1,58;1,74E+11;8,89E+12;6484,44;14,04;6,83E+13;49838,14;45,6;43,95;98,41;18,19;0,06;12;2,28E+12;71,11;1,6E+12;65,25;35,89;1371220000;3;6;6;129,95;6;39,63;55,5;2119;2351
2016;China;77261;20589;98447;24970;3007;40314;15587;4799;54933;47211;4113;5240;5755;3013;2430;18981;3807;12135;5173;4451;8,5E+12;1,79;2E+11;38,5;13,58;24,92;;19,75;2,29;54,04;14,61;1,57;1,75E+11;1,94;2,16E+11;9,49E+12;6883,9;14,39;7,37E+13;53462,88;44,47;42,98;98,51;17,46;1,07;12;2,14E+12;70,52;1,59E+12;66,03;33,09;1378665000;3;6;6;123,62;6;37,21;56,74;2664;4246
2017;China;96309;24095;115872;35977;7461;55225;24760;7349;63192;50590;5485;5380;6906;3688;2919;23068;4366;13595;6025;4911;9,11E+12;1,79;2,18E+11;39,44;14,42;25,01;;19,96;1,78;53,26;13,64;1,37;1,66E+11;1,14;1,38E+11;1,01E+13;7308,07;14,52;8,2E+13;59153,38;44,34;42,57;97,61;18,19;3,88;12;2,28E+12;69,89;1,83E+12;65,1;33,82;1386395000;3;6;6;120,06;6;38,15;57,96;3485;7451
1980;Finland;38;0;6;1;0;0;0;4;3;5;8;0;6;5;12;23;4;44;11;42;44283300443;4,5;2421696403;47,75;17,76;29,99;894,89;30,82;-1,3;69,59;36,34;0,05;27949721;0,25;136768016;1,22E+11;25627,06;17,71;33761359100;7063,73;31,25;27,32;100,84;32,12;9,64;13;14160920000;70,61;15615180000;68,49;55,52;4779535;4;6;7;116,6;6;62,95;71,73;0;0
1981;Finland;34;1;7;3;0;0;0;0;3;9;6;0;8;6;20;18;3;37;16;52;42929841944;4,6;2406084784;47,73;17,95;29,78;926,59;31,29;0,98;70,15;38,21;0,19;99646703;0,25;128902398;1,24E+11;25842,47;18,35;37961055800;7908,61;28,4;27,12;98,54;30,31;11,68;13;14011260000;63,91;14173630000;68,38;53,76;4799964;4;6;7;119,84;6;61,6;72,53;0;0
1982;Finland;86;1;2;1;0;0;0;0;1;2;4;0;17;4;18;21;17;34;22;52;43202768547;4,5;2364486567;47,44;18,06;29,39;976,47;28,87;0,17;71,23;39,88;0;910574;0,15;78155565;1,28E+11;26486,66;18,46;42594422500;8824,32;28,67;27,42;99,9;28,7;9,09;13;13073890000;62,65;13394700000;68,08;50,17;4826933;4;6;7;123,29;6;57,58;73,37;0;0
1983;Finland;115;2;6;5;0;0;1;0;3;4;14;2;18;4;13;27;10;33;29;62;41506075886;4,6;2329277797;47,07;18,13;28,94;1012,37;28,7;-0,01;71,37;41,57;0,17;84470657;0,27;138567405;1,32E+11;27140,71;18,79;47432778100;9768,3;28,39;27,79;99,77;28,72;8,23;13;12533970000;63,59;12815430000;66,78;49,72;4855787;4;6;7;119,63;6;57,42;74,2;0;0
1984;Finland;84;2;2;3;0;0;1;0;5;4;7;2;11;5;18;27;9;34;26;67;43171656968;4,5;2365488142;46,85;18,23;28,62;1004,5;29,49;2,37;70,73;43,04;0,26;136184676;0,93;492169597;1,36E+11;27860,97;18,95;53130232700;10883,32;27,23;26,32;97,96;27,11;8,48;13;13479040000;70,95;12417070000;69;48,98;4881803;4;6;7;123,62;6;56,6;75,02;0;0
1985;Finland;66;1;11;5;0;0;2;0;5;7;5;3;8;4;13;25;9;65;21;55;45630532186;4,8;2668702236;46,89;18,39;28,5;995,69;27,99;0,67;71,77;44,59;0,2;112511586;0,62;347909401;1,41E+11;28720,59;19,7;57951076700;11821,43;26,95;26,65;98,72;27,32;5,25;13;13634990000;68,71;13241750000;70,78;48,05;4902206;4;6;7;124,53;6;55,31;75,81;0;0
1986;Finland;103;0;11;3;0;0;1;0;1;9;5;4;17;6;22;22;5;58;16;65;60249081369;4,9;3594583649;47,01;18,66;28,35;986,9;25,65;1,31;72,09;46,08;0,55;405308277;1,11;817977422;1,45E+11;29405,45;19,93;62541179400;12716,39;26,06;26,13;98,15;24,34;4,79;13;16355950000;71,26;15335900000;76,48;43,1;4918154;4;6;7;123,72;6;49,98;76,57;0;0
1987;Finland;73;0;9;4;0;0;0;2;3;12;8;1;15;9;15;40;16;51;24;99;74652482516;5;4564491587;47,35;18,97;28,38;960,86;25;0,52;72,46;47,81;0,3;273394061;1,26;1149752596;1,5E+11;30361,38;20,31;67485634700;13682,88;26,8;26,92;99,26;24,48;4,32;13;20012720000;75,63;19823710000;78,27;43,31;4932123;4;6;7;126,83;6;49,48;77,29;0;0
1988;Finland;79;1;16;4;0;0;0;0;11;10;9;3;18;14;24;32;10;98;32;89;89100238852;4,9;5341000000;47,82;19,31;28,5;957,09;23,91;-0,35;70,41;49,79;0,49;531741375;2,41;2624052274;1,58E+11;31842;19,61;76595793700;15484,91;29,1;28,17;99,51;24,25;7,72;13;21753839247;77,27;21145130000;79,54;39,32;4946481;4;6;7;131,25;6;48,16;78;2;0
1989;Finland;70;7;12;2;0;0;0;0;13;7;7;4;13;13;28;65;12;94;35;102;95030866164;4,9;5733000000;48,28;19,66;28,63;935,99;23,02;-1,83;69,68;51,88;0,41;490175831;2,49;2968037054;1,65E+11;33330,37;19,42;84774746800;17076,63;32;30,56;101,68;24,85;6,56;13;23304491646;77,03;24432234425;80,58;40,11;4964371;4;6;7;138,37;6;47,87;78,69;4;0
1990;Finland;80;2;23;4;0;0;3;0;18;13;13;6;21;14;27;43;15;82;38;98;1,11E+11;5,2;7228000000;48,68;19,98;28,71;916,53;22,15;-1,55;70,93;53,43;0,57;812172838;1,97;2782180611;1,67E+11;33396,2;20,87;89393692200;17927,39;30,14;29,68;101,07;23,7;5,22;13;26569639077;78,25;26943931687;82,65;37,88;4986431;4;6;7;142,16;6;45,84;79,37;5;1
1991;Finland;57;5;19;9;0;0;8;11;34;39;15;8;11;34;48;83;7;112;38;116;97201314015;6,3;7812000000;49,01;20,33;28,69;892,73;21,27;-0,95;77,09;54,14;-0,18;-232904202;-0,09;-119985370;1,57E+11;31250,54;23,91;84513102800;16856,3;24,09;25,87;101,18;22,22;1,54;13;23094352636;84,3;21816111059;83,08;35,13;5013740;4;6;7;135,29;6;43,49;79,84;17;1
1992;Finland;102;5;37;10;0;0;3;10;56;44;27;12;54;35;68;105;9;104;48;117;84288223746;6,7;7236000000;49,37;20,66;28,72;887,32;25,54;0,85;78,28;54,35;0,35;396369714;-0,67;-757042116;1,51E+11;30043,36;24,27;81359982400;16136,48;21,07;22,23;99,36;24,7;0,92;13;23788036584;86,23;21082550946;83,47;40,16;5041992;4;6;7;117,39;6;50,24;80,13;23;0
1993;Finland;109;8;29;9;0;0;5;9;47;29;13;12;33;29;33;87;28;121;46;141;66454926367;7,6;6463751490;49,69;20,95;28,74;879,17;31,38;4,6;77,17;54,48;0,97;863526071;1,57;1401472820;1,5E+11;29692,36;23,3;81700943800;16125,89;18,58;19,15;95,76;26,78;1,79;13;23346433734;83,47;18057838359;82,74;46,55;5066447;4;6;7;99,87;6;58,16;80,41;16;0
1994;Finland;132;9;39;9;1;2;3;13;88;49;15;14;47;43;57;111;13;144;62;151;78749581563;6,9;6845613116;49,89;21,21;28,68;858,37;34,04;5,64;74,95;54,95;0,27;277840045;3,04;3135875908;1,56E+11;30727,86;22,4;87151175700;17127,65;19,76;18,65;94,71;28,39;1,87;13;29662218431;83,9;23212650490;81,5;51,29;5088333;4;6;7;106,35;6;62,43;80,69;16;0
1995;Finland;111;4;48;3;0;15;7;11;121;44;25;28;24;39;40;132;20;185;67;181;1,06E+11;6,8;8840000000;49,92;21,41;28,51;908,66;35,76;7,46;72,85;54,89;1,08;1450710446;1,42;1900766973;1,63E+11;31901,84;21,89;95668000000;18729,82;20,35;19,28;93,2;28,31;4,2;13;39572434551;81,88;28113107164;82,78;52,14;5107790;4;6;7;115,82;6;64,07;80,96;31;0
1996;Finland;117;3;49;11;0;7;7;9;155;41;21;58;27;43;63;142;14;169;66;216;1,05E+11;6,8;8772000000;50,14;21,67;28,46;894,79;36,32;6,92;73,7;55,32;0,57;752969482;2,44;3217625584;1,69E+11;32963,47;22,16;99780000000;19470,89;20,24;20,5;93,95;29,4;-0,08;13;38431729903;81,05;29263078778;81,74;54,91;5124573;4;6;7;110,65;6;65,72;81,22;26;0
1997;Finland;94;4;63;8;4;9;12;24;219;38;17;36;49;42;70;131;21;203;76;207;1,03E+11;6,97;8707714625;50,06;21,88;28,18;870,34;37,78;7,33;71,41;55,53;1,93;2454075989;4,4;5585767239;1,8E+11;34947,38;21,31;1,09E+11;21236,09;21,75;21,36;93,16;30,44;2,08;13;39315599966;79,39;29783566906;80,64;57,58;5139835;4;6;7;105,74;6;68,22;81,47;27;0
1998;Finland;153;10;92;11;0;16;3;13;272;19;26;45;48;52;68;166;17;206;79;207;1,08E+11;6,44;8430323172;49,82;22,06;27,77;831,49;37,44;7,91;69,66;55,02;9,34;12514915951;14,31;19183881371;1,89E+11;36756,74;20,57;1,18E+11;22926,76;23,01;22,21;92,68;29,53;3,1;13;42104984355;80,39;31298792248;82,59;57,23;5153498;4;6;7;106,31;6;66,97;81,71;32;0
1999;Finland;115;9;126;10;0;38;11;19;329;57;34;55;58;69;89;190;20;214;76;273;1,11E+11;5,55;7437000000;49,62;22,23;27,39;805,2;37,6;8,97;69,1;55,07;5,77;7798047354;7,31;9886419010;1,98E+11;38277,61;20,26;1,26E+11;24324,39;22,41;22,44;91,51;28,64;0,93;13;42362267253;85,18;32414071400;84,4;54,99;5165474;4;6;7;105,37;6;66,24;81,95;40;0
2000;Finland;128;11;112;22;8;48;13;10;431;76;19;65;52;49;108;209;29;223;84;263;1,04E+11;5,4;6750000000;49,54;22,42;27,12;778,95;42,03;9,17;67,54;54,91;10,74;13499419748;22,5;28282248584;2,09E+11;40403,55;19,74;1,36E+11;26195,43;23,86;23,06;91,4;32,86;1,64;13;45879977900;82,91;34315315437;81,88;64,07;5176209;4;6;7;99,99;6;74,89;82,18;29;0
2001;Finland;177;13;202;21;1;36;21;19;344;104;23;58;61;62;69;218;54;334;86;256;1,07E+11;5,45;7030500000;49,45;22,73;26,72;779,65;39,76;9,25;67,48;53,96;2,49;3222225509;6,14;7946345581;2,15E+11;41363,69;19,93;1,45E+11;27867,15;23,18;22,88;90,66;30,51;3,3;13;43259277874;82,42;32653864974;81,84;58,63;5188008;4;6;7;100,63;6;70,28;82,37;44;0
2002;Finland;72;25;188;14;0;20;15;7;260;60;18;90;84;49;131;249;29;284;90;272;1,16E+11;5,55;7770000000;49,57;23,06;26,51;781,82;39,14;8,97;68,88;52,28;5,78;8080985212;5,25;7337632777;2,18E+11;41967,97;20,63;1,49E+11;28638,25;22,05;21,6;90,93;30,16;0,94;13;45170539516;83,48;34202420000;83,38;56,79;5200598;4;6;7;102,08;6;69,3;82,5;25;0
2003;Finland;87;13;211;31;0;25;18;9;228;58;30;126;117;88;194;300;28;304;87;278;1,41E+11;5,67;9638803330;49,8;23,4;26,4;782,82;37,32;6,59;70,75;49,12;3,48;5963557456;0,12;208745486;2,23E+11;42706,92;21,1;1,51E+11;28938,15;22,23;21,78;92,98;30,73;0,19;13;53226344869;82,62;42510204114;81,11;55,87;5213014;4;6;7;107,06;6;68,06;82,64;36;0
2004;Finland;103;20;185;26;2;32;14;14;314;45;36;111;95;56;229;254;28;323;100;278;1,64E+11;5,62;11127600000;49,99;23,74;26,26;783,54;38,62;6,27;70,56;45,17;3,44;6771281519;1,4;2759170268;2,32E+11;44283,16;21,18;1,6E+11;30579,52;22,87;22,26;93,43;32,34;0,6;13;61590392308;78,43;51452214635;79,12;57,31;5228172;4;6;7;107,01;6;70,96;82,77;27;0
2005;Finland;141;5;134;32;0;23;15;3;236;23;25;160;113;70;277;327;25;357;99;307;1,69E+11;5,62;11521000000;50,07;24,05;26,02;783,51;40,27;3,97;71,05;40,31;5,31;10875828408;5,11;10474135236;2,38E+11;45358,56;21,41;1,65E+11;31523,25;24,6;22,92;95,65;36,31;0,93;13;65433391043;76,71;58692156688;77,53;60,67;5246096;4;6;7;103,83;6;76,58;82,91;24;0
2006;Finland;78;10;85;33;1;25;8;5;122;16;37;152;136;103;206;379;42;328;111;252;1,81E+11;5,47;11979300000;50,14;24,32;25,82;;43,07;4,16;71,14;36,19;2,14;4631613504;0,83;1800729565;2,48E+11;47004,62;21,32;1,74E+11;33129,72;24;22,76;95,14;38,91;0,92;13;77288183243;76,6;69448839583;75,81;67,58;5266268;4;6;7;102,47;6;81,98;83,04;34;0
2007;Finland;70;13;73;21;1;45;4;2;104;14;27;62;84;84;61;366;30;380;109;271;2,12E+11;5,3;13568000000;50,1;24,55;25,54;;43,83;4,79;69,34;32,84;8,59;21985066155;6,45;16519503409;2,61E+11;49285,27;20,77;1,88E+11;35475,31;25,55;24,2;94,89;39,03;2,75;13;90091522944;76,3;81757379080;75,62;67,07;5288720;4;6;7;103,95;6;82,86;83,17;36;0
2008;Finland;70;8;78;22;0;47;6;1;68;6;34;82;95;94;59;349;51;370;123;252;2,33E+11;5,44;15449600000;50,08;24,83;25,25;;44,9;3,62;70,89;31,02;6,82;19403176598;10,6;30158089091;2,63E+11;49440,97;21,56;1,95E+11;36622,7;25,25;24,49;96,13;41,28;3,04;13;96837967998;74,25;92108116294;73,53;66,15;5313399;4;6;7;105,69;6;86,18;83,3;45;0
2009;Finland;85;15;59;18;0;41;12;2;50;7;33;90;78;87;60;363;46;394;134;275;2,06E+11;6,01;15325500000;50,32;25,29;25,03;;36,08;2,04;76,21;26,77;-3,5;-8826514767;-1,55;-3905274793;2,41E+11;45231,96;24,07;1,84E+11;34464,96;21,47;22,95;97,69;34,04;1,77;13;62891432385;75,83;60887893795;73,83;49,01;5338871;4;6;7;106,71;6;70,12;83,43;40;0
2010;Finland;76;8;74;25;2;57;6;3;33;17;31;76;79;92;71;351;44;380;125;312;2,04E+11;6,07;15235700000;50,95;26,01;24,94;;38,41;1,36;76,32;23,3;4,91;12226437616;6,01;14987055692;2,49E+11;46459,97;23,69;1,91E+11;35533,19;22,08;22,3;98,4;37,05;0,32;13;69489105163;73,9;68769924860;72,5;55,51;5363352;4;6;7;100;6;75,46;83,77;29;0
2011;Finland;66;12;46;14;0;47;6;2;37;6;25;79;84;103;67;360;40;453;99;285;2,24E+11;6,02;16555000000;52,02;26,96;25,06;;38,9;-0,78;76,52;20,04;-2,18;-6008160154;-1,29;-3550833319;2,56E+11;47423,21;23,36;1,99E+11;36886,78;24,04;22,62;100,57;39,68;2,62;13;79145344845;73,45;84248929526;71,18;59,37;5388272;4;6;7;99,81;6;78,58;84,31;33;0
2012;Finland;60;6;61;25;0;37;16;0;42;14;28;90;92;89;63;457;50;436;133;304;2,08E+11;6,75;17415000000;53,38;28,14;25,24;;38,81;-1,55;78,14;16,43;1,91;4932843235;3,24;8375105845;2,52E+11;46538,58;24,1;2,02E+11;37306,63;23,39;23,08;101,53;40,36;2,97;13;73115664607;73,21;76557602737;72,15;57,89;5413971;4;6;7;97;6;79,17;84,84;26;0
2013;Finland;64;7;52;9;0;46;18;0;32;7;43;113;125;107;66;458;54;493;126;281;2,19E+11;6,72;18210177304;54,92;29,45;25,47;;38,02;-1,06;78,72;13,83;-1,82;-4940707106;-2,67;-7244835723;2,5E+11;45906,8;24,54;2,05E+11;37720,36;22,33;22,01;101,05;39,08;2,56;13;74446666999;74,37;77588946158;73,08;56,03;5438972;4;6;7;98,95;6;77,09;85,13;29;0
2014;Finland;60;25;38;18;5;44;11;1;19;11;39;109;165;98;77;521;66;577;144;319;2,22E+11;6,65;18292371904;56,46;30,76;25,7;;36,48;-1,15;79,03;11,7;6,28;17243598342;-0,06;-163015856;2,49E+11;45550,5;24,51;2,09E+11;38261,93;21,92;21,47;100,95;37,63;1,63;13;74332942830;76,5;76765164428;75,92;55,05;5461512;4;6;7;100,46;6;74,11;85,18;39;0
2015;Finland;60;7;48;23;1;24;17;5;26;0;42;125;175;135;98;561;54;638;117;325;1,91E+11;6,41;15062716724;57,83;31,95;25,88;;35,39;-0,57;78,8;9,8;7,18;16843228522;-0,54;-1272443734;2,5E+11;45655,22;24,37;2,14E+11;38980,53;21,68;21,19;100,48;35,95;1,66;13;59817526848;78,48;60429993825;80,49;51,26;5479531;4;6;7;96,1;6;71,34;85,23;42;0
2016;Finland;121;13;64;21;0;46;15;3;23;49;49;139;201;133;93;517;56;708;151;330;1,97E+11;6,41;15511393393;59,05;33,07;25,98;;34,82;-1,28;78;8,32;2,03;4875739369;7,65;18401914255;2,57E+11;46720,56;23,66;2,19E+11;39777,06;23,25;22,72;101,25;36,09;0,19;13;57908373815;78,49;60840859075;80,62;49,36;5495303;4;6;7;97,21;6;70,91;85,28;42;0
2017;Finland;37;6;30;6;0;9;11;0;21;5;62;110;213;128;104;563;82;659;130;325;2,08E+11;6,41;16344650063;60,08;34,06;26,01;;37,68;0,11;76,02;6,86;6,44;16397062923;5,17;13148028839;2,65E+11;48033,29;22,81;2,26E+11;40996,95;23,9;23,25;99,93;37,57;0,74;13;68073495329;78,35;70586645802;79,06;54,5;5508214;4;6;7;96,67;6;75,25;85,33;59;0
1980;France;311;23;158;76;0;7;6;1;110;125;35;6;53;48;41;387;58;129;154;308;6,05E+11;4;28360000000;57,07;21,86;35,22;843,41;20,98;-1,54;75,79;29,51;0,47;3282773278;0,44;3095155744;1,48E+12;26877,72;21,05;4,55E+11;8250,35;25,75;24,43;101,54;22,52;11,69;11;1,15E+11;63,16;1,35E+11;69,97;35,78;55161527;3;5;6;118,94;7;43,5;73,28;0;0
1981;France;267;43;114;37;0;10;11;4;77;137;30;5;52;33;38;484;51;108;138;355;5,28E+11;4,4;27368000000;55,86;21,5;34,36;847,08;21,97;-1,47;77,95;32,78;0,4;2469631625;0,74;4548631238;1,5E+12;27033,33;21,75;5,13E+11;9258,89;23,52;23,92;101,47;23,44;11,69;11;1,05E+11;62,31;1,21E+11;73,94;36,94;55430296;3;5;6;113,65;7;45,41;73,35;0;0
1982;France;290;33;135;57;0;5;18;3;113;172;47;5;64;44;66;384;58;133;124;387;4,99E+11;4,6;27094000000;54,68;20,94;33,74;846,18;21,4;-2,45;78,66;35,81;0,27;1585298782;0,49;2848678047;1,54E+12;27567,08;22,2;5,87E+11;10542,45;23,8;23,25;102,45;23,85;12,09;11;95286500000;63,9;1,15E+11;72,02;36,32;55718933;3;5;6;108,5;7;45,25;73,43;2;0
1983;France;309;49;120;79;0;12;18;16;93;208;37;8;62;56;65;425;52;114;170;472;4,74E+11;4,6;25760000000;53,58;20,33;33,25;846,11;22,44;-0,27;78,52;38,3;0,31;1725670869;0,31;1713242526;1,56E+12;27757,29;22,36;6,48E+11;11563,36;21,75;21,94;100,27;22,7;9,65;11;93480800000;65,05;1,06E+11;70,71;35,87;56023770;3;5;6;104,48;7;45,14;73,5;3;0
1984;France;383;51;183;68;0;15;27;2;92;172;42;15;63;51;92;422;53;140;136;465;4,48E+11;4,7;24910000000;52,62;19,86;32,76;837,44;23,84;0,13;78,64;40,18;0,45;2397989219;0,4;2119148371;1,58E+12;28020,46;22,53;7,03E+11;12469,92;21,23;21,29;99,87;23,71;7,07;11;96023800000;67,07;1,04E+11;69,89;38,05;56337666;3;5;6;102,77;7;47,54;73,58;3;1
1985;France;409;49;141;90;0;12;41;6;83;169;67;12;86;55;134;476;47;163;153;495;4,71E+11;4,7;26085000000;51,84;19,63;32,2;832;23,32;-0,37;79,2;41,68;0,47;2595492780;0,41;2242770423;1,6E+12;28315,83;22,58;7,57E+11;13356,16;21,17;21,18;100,37;23,69;5,45;11;99975400000;67,75;1,08E+11;70,34;37,95;56654696;3;5;6;105,34;7;47,02;73,65;7;0
1986;France;380;33;222;120;0;17;31;3;104;172;99;11;135;80;181;420;49;166;137;572;6,63E+11;4,5;35055000000;51,72;19,74;31,97;825,04;20,38;-0,12;78,36;43,05;0,42;3255870956;0,7;5403205719;1,64E+12;28814,17;22,31;8,18E+11;14358,49;21,76;21,23;100,12;20,5;5,06;11;1,23E+11;69,75;1,29E+11;74,39;32,97;56976123;3;5;6;109,11;7;40,89;73,73;8;1
1987;France;420;45;199;130;8;19;41;7;86;206;96;19;121;63;162;430;55;211;213;643;8,04E+11;4,4;41624000000;51,62;20,05;31,57;815,27;19,6;-1,1;78,84;44,42;0,55;5139716802;0,99;9210372298;1,68E+12;29383,96;22,15;8,63E+11;15056,54;22,26;21,86;101,1;20,7;2,46;11;1,45E+11;72,67;1,58E+11;75,37;32,85;57302663;3;5;6;110,41;7;40,29;73,8;9;1
1988;France;412;41;227;122;10;22;52;10;167;279;81;19;89;85;185;511;56;170;208;706;8,77E+11;4,3;44290000000;51,58;20,48;31,1;828,27;20,37;-0,66;77,32;46,02;0,83;8489906284;1,42;14496116462;1,76E+12;30604,4;21,7;9,31E+11;16161,21;23,34;22,62;100,66;21,03;3,19;11;1,66E+11;73,56;1,8E+11;75,08;34,02;57627105;3;5;6;108,44;7;41,39;73,88;19;1
1989;France;412;37;253;110;19;21;74;6;166;376;82;24;111;96;253;509;79;215;234;699;8,76E+11;4,2;43260000000;51,64;20,92;30,72;823,27;21,66;-0,69;76,42;47,77;1,01;10303924629;1,9;19497614449;1,84E+12;31761,25;21,14;1E+12;17275,27;24,27;23,16;100,69;22,34;3,29;11;1,76E+11;73,29;1,93E+11;75,08;36,32;57940212;3;5;6;106,29;7;44;73,95;24;2
1990;France;448;53;281;165;16;25;68;8;190;338;126;30;123;105;236;521;94;268;226;725;1,09E+12;4,3;55040000000;51,78;21,3;30,48;809,68;20,98;-0,78;76,37;49,56;1,04;13183285335;2,74;34823457562;1,89E+12;32524,06;21,17;1,06E+12;18154,05;24,41;23,38;100,78;21,76;2,66;11;2,12E+11;73,92;2,34E+11;75,94;35,54;58235697;3;5;6;109,94;7;42,74;74,06;30;6
1991;France;446;39;275;134;28;21;63;14;189;253;124;52;113;129;405;637;78;252;281;892;1,08E+12;4,5;57600000000;51,99;21,76;30,23;790,74;21,33;-0,31;76,71;51,13;1,19;15152742090;1,89;23931740379;1,91E+12;32683,35;21,66;1,09E+12;18691,56;23,6;23,18;100,31;21,65;2,55;11;2,12E+11;75,92;2,31E+11;76,53;35,37;58559311;3;5;6;105,83;7;42,98;74,23;48;9
1992;France;441;69;347;146;19;21;85;30;150;243;127;98;186;135;475;758;81;309;369;898;1,2E+12;4,4;62480000000;52,29;22,16;30,13;778,85;21,33;0,67;77,37;52,67;1,56;21839501253;2,23;31269010209;1,94E+12;33041,36;22,26;1,14E+12;19292,62;21,96;22,08;99,33;20,66;1,97;11;2,32E+11;75,19;2,41E+11;75,73;33,93;58851217;3;5;6;107,31;7;41,99;74,4;90;9
1993;France;431;36;247;115;8;18;62;11;221;278;101;69;182;206;206;770;110;334;311;880;1,13E+12;5;67000000000;52,64;22,53;30,11;754,14;20,79;1,68;78,78;53,86;1,57;20754044036;1,56;20604513339;1,93E+12;32691,68;23,41;1,15E+12;19416,22;19,54;20,71;98,32;19,11;1,62;11;2,13E+11;73,64;2,02E+11;76,28;33,18;59106768;3;5;6;108,4;7;39,91;74,57;66;5
1994;France;369;46;331;161;11;28;49;15;232;283;98;122;188;230;264;1004;127;399;412;1128;1,19E+12;5,2;73320000000;52,95;22,88;30,07;734,96;21,66;1,49;78,19;55,05;1,13;15797125295;1,75;24438148540;1,98E+12;33338,34;23,19;1,18E+12;19952,13;20,32;20,42;98,51;20,17;0,92;11;2,36E+11;75,04;2,34E+11;74,48;35,62;59327192;3;5;6;108,15;7;41,83;74,74;101;9
